epoch,train_loss,train_acc,val_loss,val_acc
1,1.8587212816238403,29.875,1.6273968843460083,41.07
2,1.497896630859375,44.9325,1.4043363101959228,50.23
3,1.3272330436706543,52.15,1.267532711982727,55.60000000000001
4,1.1900705221176147,56.989999999999995,1.1349130161285401,59.06
5,1.071086227607727,61.2675,1.0272436407089234,63.800000000000004
6,0.969106106376648,65.4575,0.9332671693801879,66.71000000000001
7,0.8759927694320678,69.0775,0.8650283190727234,70.16
8,0.8008449940681458,71.76249999999999,0.8084191215515136,72.18
9,0.7418622034072876,74.19,0.776650754070282,73.36
10,0.6910498260498047,75.7875,0.6978910556793213,75.81
11,0.6370418786048889,77.78,0.66353941822052,77.16
12,0.605880852508545,78.8925,0.6638708734512329,77.56
13,0.5768626218795776,79.83,0.6425861874580383,78.49000000000001
14,0.547683763885498,80.75,0.612235518169403,79.09
15,0.518454905128479,81.8575,0.6163971017837524,79.27
16,0.49446067104339597,82.8125,0.5609777869224548,80.99
17,0.470502428150177,83.5975,0.5466535267829895,81.47999999999999
18,0.4555738785743713,83.995,0.5619618139743805,80.99
19,0.4381855719089508,84.845,0.5295528349399566,82.19
20,0.4215067756652832,85.4025,0.5105001870155335,82.72
21,0.4057729047298431,85.6725,0.5287357950210572,82.71
22,0.388095276927948,86.4275,0.5013819269180297,83.28
23,0.3811765465736389,86.61,0.49475907440185546,83.6
24,0.3634520733356476,87.2775,0.5256266035795212,83.12
25,0.34605266127586365,87.9625,0.5054112113952637,83.49
26,0.33641524248123167,88.14750000000001,0.4811444845199585,84.26
27,0.3306171205997467,88.3875,0.49395690732002256,84.28999999999999
28,0.3144281128406525,89.0525,0.4817132628917694,84.89999999999999
29,0.30701912109851837,89.3875,0.503889362192154,83.94
30,0.2914127034902573,89.84,0.4908041401863098,84.86
31,0.2892115876674652,89.8575,0.4900107614994049,84.17
32,0.2761204675197601,90.32249999999999,0.471071715593338,85.28999999999999
33,0.2643670957565308,90.7875,0.4820715364456177,85.1
34,0.2623846518754959,90.61749999999999,0.47046014103889466,85.87
35,0.2497644097328186,91.155,0.48377029962539675,85.35000000000001
36,0.2503408321619034,91.19500000000001,0.5068512989997864,84.91
37,0.24033974168300629,91.475,0.4676723040103912,85.67
38,0.23321051988601685,91.8025,0.4666907022476196,85.89
39,0.22180647730827333,92.02,0.4520970438957214,85.98
40,0.22041282396316528,92.1725,0.4599710090637207,86.07000000000001
41,0.21338996529579163,92.53,0.46939962568283083,85.64
42,0.20606987280845643,92.625,0.4412868579387665,86.4
43,0.2010110482931137,92.845,0.46505732021331786,86.14
44,0.19931123192310332,92.9775,0.4544765270471573,86.1
45,0.1864641314983368,93.4,0.46715344212055204,86.08
46,0.18651545550823212,93.3125,0.4859733581542969,86.13
47,0.17536384401321412,93.8525,0.45962068338394163,86.58
48,0.16906401470899582,94.065,0.45608023948669435,86.92
49,0.16902687432765962,93.94500000000001,0.43868399143218995,87.33999999999999
50,0.16855775026082992,94.045,0.4654365002632141,86.55000000000001
51,0.16391039708852767,94.325,0.49077511148452757,86.04
52,0.15779465663433076,94.42,0.4611202718734741,86.78
53,0.15520943408012391,94.5375,0.4750358449459076,87.14
54,0.15156598341464997,94.645,0.45210335116386413,86.9
55,0.14680035132169725,94.755,0.4841848744869232,86.74
56,0.14171189543008805,94.95,0.4673580321788788,87.21
57,0.140905112016201,95.0225,0.4734001680374145,86.91
58,0.13384926879405976,95.195,0.4770795150756836,87.42
59,0.13428755161762237,95.2375,0.49241906661987306,87.0
