epoch,train_loss,train_acc,val_loss,val_acc
1,1.754838326072693,34.1175,1.5299167022705078,44.06
2,1.319727215385437,52.285000000000004,1.2785375699996948,54.13
3,1.0967180269241332,61.19,1.1498094924926758,59.309999999999995
4,0.9247992919921875,67.2325,1.1025610548019409,60.69
5,0.8069062182426453,72.0025,1.0258129614830016,64.66
6,0.6896957118034363,75.99000000000001,1.0257820318222046,65.34
7,0.6008423212051391,78.92,1.0022114970207214,67.21000000000001
8,0.5169594784259797,82.0175,0.9849818712234497,68.11
9,0.442743931388855,84.5775,1.0480401792526246,67.64
10,0.38464512429237363,86.6375,1.021955744934082,68.73
11,0.33258171269893644,88.35,1.0516191718101502,69.42
12,0.29442250616550447,89.7025,1.074365546131134,69.65
13,0.2487710018634796,91.385,1.0979143121719361,69.75
14,0.22129899716377258,92.1125,1.210984398651123,69.63000000000001
15,0.20018119583129884,93.0625,1.2207742580413818,70.03
16,0.18306982356309892,93.5575,1.252685859966278,68.52000000000001
17,0.16521449130773544,94.265,1.258883197593689,69.83
18,0.15145942242145538,94.8225,1.2577487085342407,70.44
